name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Invesco Ltd ,Privately Held,51-200,1991,Financial Services,more than 1000,"Pensions & employee benefits administration,Investment Advice & Consulting,Actuarial Consulting,Pension scheme design & implementation,Pensions legal consulting,Employee Communications,Risk benefits re-broking,Private Medical Insurance,Personal Pensions,Pensions Online Access,Benefits Administration,Defined Contribution,Defined Benefit,Actuarial advice,Pensions Company Advisor,Employee Communications",https://media.licdn.com/dms/image/C4D0BAQGXxPdMeiKfnA/company-logo_200_200/0?e=2132524800&v=beta&t=2YK2JML1m9OCSDQM-wlNnTa3Jyivc4PCg1ciJXytU7k,www.invesco.ie,Financial
Cantor Fitzgerald Ireland,Privately Held,51-200,1995,Financial Services,more than 1000,"Investment Management,Debt Capital Markets,Investment Banking,Research",https://media.licdn.com/dms/image/C4E0BAQEbTqLKM886pA/company-logo_200_200/0?e=2132524800&v=beta&t=AeOujBz9UfmyEr3B6bNhlvv3LlNiqx4nmqnH2TNX1Q0,www.cantorfitzgerald.ie,Financial
Merrion Capital Group,Privately Held,51-200,1999,Financial Services,more than 1000,Not Specified,https://media.licdn.com/dms/image/C510BAQEZq9Ttjzw9sg/company-logo_200_200/0?e=2132524800&v=beta&t=mQzkgIVO5NkizTRZap-HnrKEIszi_hqXAt9dBRTLCJY,www.merrion-capital.com,Financial
SEB Life International,Public Company,51-200,Undisclosed,Financial Services,more than 1000,"Life Assurance,Unit-linked funds,Portfolio Bonds,Select list funds,EU Third Life Directive,Cross Border,Whole of Life,Insurance Based Investment",https://media.licdn.com/dms/image/C510BAQEa_Sxh1e9KSg/company-logo_200_200/0?e=2132524800&v=beta&t=tJDBwZw5nvptZTnA1NxzROoebPK6m2YZmZvDK-1l26w,http://www.seb.ie/sebweb/,Financial
The Trusted Advisor Group,Privately Held,2-10,2011,Financial Services,more than 1000,"Compliance & Technical Support,Investment Analysis & Research,Business Planning & Strategy,Tax & Legal Consultancy,Marketing & Brand,Coaching & Mentoring,IT Support,HR Support,Voyant discount & training,IBA Membership,Residence Private Members Club",https://media.licdn.com/dms/image/C510BAQF9DB8jgQ7HMQ/company-logo_200_200/0?e=2132524800&v=beta&t=j5k2tCOiSU-NMkSOmXvD-3Mrh0Xdfw_UWmF6K5k3qS0,www.trustedadvisorgroup.ie,Financial
SuMi TRUST Global Asset Services,Privately Held,201-500,1990,Financial Services,more than 1000,"Fund Accounting,Fund Financial Reporting,Transfer Agency/Shareholder Services,Global Custody,Trustee Services,UCITS Product Offering,UK Fund Services,Ancilliary Management Services,Corporate Governance Meeting Services,Investment Compliance Monitoring",https://media.licdn.com/dms/image/C4D0BAQGsRNBC63BitA/company-logo_200_200/0?e=2132524800&v=beta&t=BhJzRIuqbbhOXEFFrokl-TfZmKYhoUtM6jRgqYVGCc0,www.sumitrustgas.com,Financial
Property Investment Ireland,Privately Held,myself only,2013,Real Estate,more than 1000,"Investment Real Estate,International Real Estate,Negotiation,Real Estate,Valuation,Financial Analysis,Development Appraisal,Real Estate Financing,Asset Management,Property Management,Real Estate Economics,Vacant Property Solutions,Leases,Research",https://media.licdn.com/dms/image/C4D0BAQGhdizXB6IayA/company-logo_200_200/0?e=2132524800&v=beta&t=3faps_kK4LLS2UNBGHqyTV-WIg3krfaPfLgkXVjHPms,www.propertyinvestment.ie,Financial
Iconic Offices,Privately Held,51-200,2013,Commercial Real Estate,more than 1000,"Serviced Offices,Meeting Rooms,Semi Serviced Offices,coworking,hot desk,Private Offices,CoworkingDublin,Fully Serviced Offices,Hot Desking Dublin,coworking,event space,offices to let,offices to let dublin,office rental dublin,dedicated desks",https://media.licdn.com/dms/image/C4D0BAQEX-uwypmCmFw/company-logo_200_200/0?e=2132524800&v=beta&t=dX2isUX-6w5Q29hacDnwkKnhBD2kqYxO8aFK9i7Yjpo,http://iconicoffices.ie/,Financial
JLL Ireland,Privately Held,51-200,1964,Real Estate,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQHTz2VzyyEJig/company-logo_200_200/0?e=2132524800&v=beta&t=xarJy7HRXSZloayKJa7mN-gaJcgaoUHbTN5w-nk7kug,www.jll.ie,Financial
Aegon Ireland,Public Company,201-500,2002,Insurance,more than 1000,"Variable Annuities,Unit-linked Guarantees,Offshore Bonds,Wealth Management,Investment Solutions,Hedging,Reinsurance",https://media.licdn.com/dms/image/C4E0BAQEfnYYrfaVP6A/company-logo_200_200/0?e=2132524800&v=beta&t=ptC0OxCwV0hziPzW9PX7Lz-OmLFQ50FsuaDn_7GklVg,http://www.athora.com/ie,Financial
O'Leary Insurances Ltd,Privately Held,51-200,1961,Insurance,more than 1000,"Commercial Insurance,Personal Insurance,Health Insurance,Life Assurance, Pensions & Investments",https://media.licdn.com/dms/image/C4D0BAQGodE-iD_z3TA/company-logo_200_200/0?e=2132524800&v=beta&t=l8WlofGYMukhQzLo_UYLedJbswpHbT8SIcrUo1StBMM,www.olearyinsurances.ie,Financial
Fideuram Asset Management (Ireland) dac,Privately Held,51-200,2001,Financial Services,more than 1000,Asset Management,https://media.licdn.com/dms/image/C4E0BAQFuvdfGPB5kVA/company-logo_200_200/0?e=2132524800&v=beta&t=7q6ndPTHhB-AuuHt55GPbAEQKGW4jp3zwShx-XVDPl4,http://www.fideuramireland.ie/,Financial
Global M&A Partners,Privately Held,201-500,1999,Investment Banking/Venture,more than 1000,"Mergers & Acquisitions,IPO'S,Fundraisings,Project Finance,Privatizations",https://media.licdn.com/dms/image/C4E0BAQFYVSk6nQXFTA/company-logo_200_200/0?e=2132524800&v=beta&t=P1wgHxl_ZHyK5B_8Om5Fu4viWdSQV11kCjheVDg9iuE,http://www.globalma.com/,Financial
