name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Evros Technology Group,Privately Held,201-500,1990,Information Technology & Services,more than 1000,"Managed IT Services,Cloud Solutions,Total IT Outsourcing,IT Contracting & Recruitment,Professional Services,Microsoft Infrastructure Solutions,Converged Infrastructure,Managed Print Services,Networking & Security,Enterprise Mobility,Business Continuity",https://media.licdn.com/dms/image/C510BAQF-3SOLrDqIMQ/company-logo_200_200/0?e=2132524800&v=beta&t=vuLH5jPyGyuhzmIOqGd-5CUZlVCBWIypL9CBtK1eOkA,www.evros.ie,IT
Integrity360,Privately Held,51-200,2005,Information Technology & Services,more than 1000,"Managed Security,Governance, Risk & Compliance,Cyber Security Testing,Security Integration,Incident Handling,Cyber Security,Cyber Risk and Assurance,Managed SIEM,Cloud Security,Data Security,Information Security,Penetration Testing,Red Team",https://media.licdn.com/dms/image/C4E0BAQFMPHSTN43CiQ/company-logo_200_200/0?e=2132524800&v=beta&t=M3D45K0SV2r6qOAMFeTgf0CbUjwahFd4t_0Lm5idMHU,www.integrity360.com,IT
Lucini&Lucini Communications Group,Privately Held,51-200,1999,Internet,more than 1000,"Lead Generation,E-mail Marketing,E-mail Delivery Technology,Data Analysis",https://media.licdn.com/dms/image/C560BAQH5teT_CRZhlg/company-logo_200_200/0?e=2132524800&v=beta&t=-QBiRhWDGoJpFzCV-OrRkZB3EgQV3DfstiUesadp2Ic,http://www.lucinilucini.com,IT
Data Direct,Privately Held,11-50,1996,Information Technology & Services,more than 1000,"Hardware Suppliers,Data Direct Engineering Services,Network Cabling Solutions,Security,Computer and Projector Hire,Printer Repair",https://media.licdn.com/dms/image/C510BAQHydymmaoxRAQ/company-logo_200_200/0?e=2132524800&v=beta&t=_G8vnLv1huCq5-OII5p8ojMxCuZldD-JCTKiGoYiGxU,http://www.datadirect.ie/index.asp,IT
Ward Solutions,Privately Held,51-200,1999,Information Technology & Services,more than 1000,"Information Security Consultancy,Information Security Solutions,Information Security Assurance,Incident Response and Digital Forensics,Risk Assessment,Penetration Testing",https://media.licdn.com/dms/image/C4D0BAQGDrQb2HmwQgg/company-logo_200_200/0?e=2132524800&v=beta&t=fkZw3IPkzeZii12Z8JHePZLOMDwi4PfK6iGyxYRto9A,www.ward.ie,IT
Oneview Healthcare,Public Company,51-200,2008,Information Technology & Services,more than 1000,"Interactive Patient Care,Patient Engagement Solutions,Clinical Workflow Solutions,Healthcare",https://media.licdn.com/dms/image/C560BAQE5Mp_8cqOV5Q/company-logo_200_200/0?e=2132524800&v=beta&t=YcWwIH6chAtxMJWRq-oX_GTzZLcNgTZq5FRvheToHRM,oneviewhealthcare.com,IT
SoftCo,Privately Held,51-200,1990,Computer Software,more than 1000,"Business Process Automation,Workflow,Document Management,Distributed Capture,Content Addressed Storage,Software as a Service,Business Applications,Accounts Payable Software,Accounts Receivable Software,Compliance Solutions,Outsource",https://media.licdn.com/dms/image/C4E0BAQF_tUG1APYuTQ/company-logo_200_200/0?e=2132524800&v=beta&t=zitu-LwFXMFTnuh0gA8IVGZKQ_CqmaHWbJ7nehCOPkA,www.softco.com,IT
Jobbio,Privately Held,51-200,Undisclosed,Internet,more than 1000,"Tech,Recruitment,Company Branding,Marketing,Hospitality,Content Rroduction,Hiring,Retail,Start-ups,Human Resources,Work-Life Balance,Job Seekers,Diversity,Events,Careers Fair,Global Company",https://media.licdn.com/dms/image/C510BAQF9EHaXomg62A/company-logo_200_200/0?e=2132524800&v=beta&t=HNg_R2l5Viy00r6AzEjiITl8gaRBVsi2m4HrjQZgM64,www.jobbio.com,IT
Navy Cloud,Partnership,2-10,2009,Internet,more than 1000,"Web Design,Web Development,Online Marketing",https://media.licdn.com/dms/image/C4E0BAQH-jAzE3-0tXg/company-logo_200_200/0?e=2132524800&v=beta&t=cmIcTdyEUF5IdcOtxOrxgvLioC1ISZRuMLdzbR8dYAU,www.navycloud.com,IT
Avvio.com,Privately Held,51-200,2002,Information Technology & Services,more than 1000,"Hotel Booking Engine,Online Marketing,Website Design,Search Engine Optimisation,Mobile Web Development,Training Services,Affiliate Marketing,Revenue Management,Personalised Web Technology,Mobile Marketing,Facebook App Development,Social Media Marketing",https://media.licdn.com/dms/image/C560BAQFhf1NhFbBjsA/company-logo_200_200/0?e=2132524800&v=beta&t=rlmOeHsDrWS0F_Kq6Ok0EAt9YS92YTg17REdgVQvls8,http://www.avvio.com,IT
