name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Griffith College Cork,Privately Held,51-200,1884,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQFEgTdxbsYzbQ/company-logo_200_200/0?e=2132524800&v=beta&t=djCwzfj8E1sqDfHJ9tuvJhiYG2C6ITQbABKQoicyYmM,https://www.griffith.ie/,EDUCATION
Independent College Dublin,Educational,51-200,2007,Higher Education,more than 1000,"Largest and most successful FE1 Prep Course in Ireland,School of Professional Accountancy have achieved over 60 placings in Ireland, in the last eight exam sittings, including two first in the world prize winners.,Small Class Sizes,Exceptional Lecturers",https://media.licdn.com/dms/image/C4E0BAQHGxc8S8xXcaw/company-logo_200_200/0?e=2132524800&v=beta&t=gyn_G4b5BuQC5y8uKU9Lg6zDWaaB28xgkNd-nEJzAQA,http://www.independentcolleges.ie/,EDUCATION
"Pontifical University, St Patrick's College, Maynooth",Educational,Undisclosed,1795,Higher Education,more than 1000,"Theology,Canon Law,Philosophy",https://media.licdn.com/dms/image/C4E0BAQEkS_I2cIYmwg/company-logo_200_200/0?e=2132524800&v=beta&t=3Lo6pPTNvS05zAJ-HQptwIoXRPOoGiZ3umYeQNon0C4,http://www.maynoothcollege.ie/,EDUCATION
MKRMS Food Safety,Privately Held,myself only,2007,Professional Training,more than 1000,"Food Safety Training,Compliance Auditing,HACCP Consultancy",https://media.licdn.com/dms/image/C4D0BAQHPyEZ20tpauw/company-logo_200_200/0?e=2132524800&v=beta&t=E-stm4-FYPJX8Zolsxss2Op8SBjzWAgl1HeTN13oJU4,http://www.mkrms.com,EDUCATION
The Royal College of Physicians in Ireland,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.rcpi.ie/,EDUCATION
"English Language Academy (ELA), Dublin, Ireland",Privately Held,11-50,2008,Education Management,more than 1000,"Language Training,Tourism & Hospitality Courses,Business Courses,IELTS Preparation Courses",https://media.licdn.com/dms/image/C560BAQFVBuz5EivMHA/company-logo_200_200/0?e=2132524800&v=beta&t=h2imXWcuWv15VGe860Ew3_HV8pkr3_hNO80RtsZfQiU,www.elaireland.com,EDUCATION
Cork English College,Privately Held,11-50,1978,Education Management,more than 1000,"English Language Teaching,English Language Testing",https://media.licdn.com/dms/image/C560BAQF2Q4Ww5075Tg/company-logo_200_200/0?e=2132524800&v=beta&t=yKyYdc_IcJpp7Jq1CqlVxd4aEMrscGD9DwT12sYo_1U,www.corkenglishcollege.ie,EDUCATION
Public Affairs Ireland,Privately Held,11-50,2002,Professional Training,more than 1000,"training,education,continuing professional development,publishing,directories",https://media.licdn.com/dms/image/C4E0BAQGAq2bbh4_X_w/company-logo_200_200/0?e=2132524800&v=beta&t=2p-zUP3Zmp7iz66I0_1ZayPwyMakvXR4mB6q-5C361Q,http://www.pai.ie,EDUCATION
THE TEFL ACADEMY - Leading EFL Teacher Trainer Provider,Privately Held,11-50,Undisclosed,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQHJLxAvRR396A/company-logo_200_200/0?e=2132524800&v=beta&t=q0Gkh-z0M1ZnJsbooK8lWTo4RWeiGRdhUxgAyfGjBd0,http://www.theteflacademy.com/,EDUCATION
UCD Students' Union (UCDSU),Non Profit,51-200,1975,Higher Education,more than 1000,"Representation,Services",https://media.licdn.com/dms/image/C4E0BAQF-99xebSJxDw/company-logo_200_200/0?e=2132524800&v=beta&t=V-zxi6GOJsRVNdLCUF-1F5OXGKe0ol0M2BTPgAyrVFI,www.ucdsu.ie,EDUCATION
